filename,slug,lang,title,char_count,expert_count,experts,has_6_experts,is_under_1500
accumulation-distribution-line-ar.json,accumulation-distribution-line,AR,خط A/D (التراكم / التوزيع),2017,6,"geopolitics, macro, quant, technical, policy, tech",True,False
accumulation-distribution-line-cn.json,accumulation-distribution-line,CN,累积/派发线 (A/D Line),872,6,"geopolitics, macro, quant, technical, policy, tech",True,True
accumulation-distribution-line-en.json,accumulation-distribution-line,EN,A/D Line (Accumulation/Distribution),2210,6,"geopolitics, macro, quant, technical, policy, tech",True,False
accumulation-distribution-line-es.json,accumulation-distribution-line,ES,Línea A/D (Acumulación/Distribución),2649,6,"geopolitics, macro, quant, technical, policy, tech",True,False
accumulation-distribution-line-hi.json,accumulation-distribution-line,HI,A/D लाइन (संचय/वितरण),2418,6,"geopolitics, macro, quant, technical, policy, tech",True,False
accumulation-distribution-line-id.json,accumulation-distribution-line,ID,Garis A/D (Akumulasi/Distribusi),2421,6,"geopolitics, macro, quant, technical, policy, tech",True,False
accumulation-distribution-line-jp.json,accumulation-distribution-line,JP,A/Dライン (蓄積/分配線),1280,6,"geopolitics, macro, quant, technical, policy, tech",True,True
adx-average-directional-index-ar.json,adx-average-directional-index,AR,ADX (مؤشر الاتجاه المتوسط),1715,6,"geopolitics, macro, quant, technical, policy, tech",True,False
adx-average-directional-index-cn.json,adx-average-directional-index,CN,ADX (平均趋向指标),763,6,"geopolitics, macro, quant, technical, policy, tech",True,True
adx-average-directional-index-en.json,adx-average-directional-index,EN,ADX (Average Directional Index),1851,6,"geopolitics, macro, quant, technical, policy, tech",True,False
adx-average-directional-index-es.json,adx-average-directional-index,ES,ADX (Índice Direccional Promedio),2214,6,"geopolitics, macro, quant, technical, policy, tech",True,False
adx-average-directional-index-hi.json,adx-average-directional-index,HI,ADX (औसत दिशात्मक सूचकांक),2130,6,"geopolitics, macro, quant, technical, policy, tech",True,False
adx-average-directional-index-id.json,adx-average-directional-index,ID,ADX (Indeks Arah Rata-rata),2071,6,"geopolitics, macro, quant, technical, policy, tech",True,False
adx-average-directional-index-jp.json,adx-average-directional-index,JP,ADX (平均方向性指数),1090,6,"geopolitics, macro, quant, technical, policy, tech",True,True
